x,y,dir
40,50,s
52,23,s
47,56,s
50,58,s
73,46,s
73,17,s
99,2,s
39,64,s
38,56,s
79,66,s
104,4,s
101,19,s
43,64,s
91,53,s
102,6,s
100,18,s
99,47,s
101,41,s
102,37,s
40,7,d
37,17,d
38,43,d
26,65,d
28,53,d
99,54,d
99,42,d
65,5,d
64,16,d
65,3,d
67,17,d
73,36,d
97,7,d
74,4,d
60,19,d
94,3,d
61,64,d
62,54,d
69,2,d
65,17,d
60,17,d
56,14,d
55,30,d
