team,x,y,dir,period,outcome,reason
ireland,58,51,d,1,succ,
ireland,43,8,d,1,miss,conv
england,86,19,s,1,succ,
england,85,55,s,1,miss,
england,83,20,s,1,succ,
ireland,42,53,d,1,succ,conv
england,101,32,s,1,succ,
england,47,50,d,2,succ,
england,42,36,d,2,succ,
ireland,108,42,s,2,succ,
ireland,97,14,s,2,succ,conv
ireland,97,58,s,2,succ,conv
