team,x,y,dir,period,outcome,reason
france,57,34,d,1,succ,
france,45,65,d,1,miss,
england,79,31,s,1,succ,
france,44,55,d,1,succ,
england,80,40,s,1,succ,
france,73,16,d,1,miss,
france,45,5,d,1,succ,conv
england,43,69,d,2,succ,conv
france,38,30,s,2,succ,conv
