team,x,y,dir,period,outcome,reason
england,77,14,s,1,won,kept poss
england,57,36,s,1,lost,penalty
england,58,22,s,1,won,kept poss
england,64,17,s,1,won,kept poss
france,73,13,d,1,won,penalty
england,41,8,d,2,won,kept poss
france,26,40,s,2,won,kept poss
france,82,30,s,2,won,kept poss
england,50,15,d,2,won,kept poss
france,41,63,s,2,won,kept poss
france,50,14,s,2,won,penalty
france,50,13,s,2,won,kept poss
