team,x,y,dir,period,outcome,reason
england,57,15,s,1,won,penalty
england,57,16,s,1,won,penalty
scotland,77,55,s,2,won,penalty
england,67,13,d,2,won,penalty
scotland,84,15,s,2,won,kept poss
scotland,113,15,s,2,won,penalty
scotland,44,15,s,2,won,kept poss
england,50,42,d,2,won,penalty
england,50,41,d,2,won,kept poss
