team,x,y,dir,period,outcome,reason
england,47,20,d,1,succ,
england,50,20,d,1,succ,
england,58,43,d,1,miss,
england,58,26,d,1,succ,
england,32,47,d,1,succ,
england,97,67,s,2,miss,conv
wales,45,10,d,2,miss,conv
wales,43,15,d,2,succ,conv
england,79,53,s,2,succ,
england,83,16,s,2,succ,
